edad,sexo,ciudad,segmento_cliente,canal_adquisicion,cliente_premium,usa_cupon,dispositivo,visitas_sitio_mes,paginas_vistas,tiempo_promedio_sitio_min,compras_previas,dias_desde_ultima_compra,score_fidelizacion,carrito_abandonado_pct,monto_promedio_compra
63.0,Hombre,Antofagasta,Plata,Referido,No,No,Desktop,28,20,9.75,5,48,66.0,24.08,63820.49
41.0,Mujer,Puerto Montt,Plata,Referido,No,No,Tablet,27,18,10.22,7,26,71.0,26.02,51695.98
34.0,Mujer,Antofagasta,Bronce,Orgánico,No,No,Mobile,20,26,18.36,5,71,55.0,58.25,35029.99
51.0,Hombre,Concepción,Premium,Orgánico,Sí,Sí,Mobile,47,23,15.43,10,0,100.0,35.72,129536.84
46.0,Hombre,Valparaíso,Oro,Instagram,Sí,Sí,Mobile,33,22,18.46,8,19,100.0,40.79,103676.5
49.0,Hombre,Antofagasta,Plata,Email,No,No,Mobile,21,5,10.83,1,49,44.0,50.11,37895.72
42.0,Otro,Temuco,Bronce,Google Ads,No,No,Mobile,25,21,12.36,9,69,93.0,24.7,84056.29
70.0,Mujer,Valparaíso,Plata,Instagram,Sí,Sí,Mobile,25,25,13.54,6,16,100.0,34.1,59438.71
47.0,Mujer,La Serena,Bronce,Google Ads,No,No,Mobile,18,14,7.93,3,33,77.0,48.26,40508.47
53.0,Hombre,Santiago,Plata,Instagram,No,Sí,Mobile,26,8,6.21,5,27,65.0,56.82,52211.41
34.0,Mujer,Santiago,Premium,Google Ads,No,Sí,Desktop,11,9,4.18,7,57,80.0,30.06,41827.51
22.0,Mujer,Santiago,Plata,Instagram,No,No,Desktop,13,11,7.64,2,80,60.0,18.82,12630.89
28.0,Hombre,Puerto Montt,Bronce,Orgánico,No,No,Mobile,6,4,1.69,2,60,53.0,39.74,14431.96
34.0,Hombre,Santiago,Oro,Google Ads,Sí,No,Mobile,34,29,14.94,8,36,77.0,22.8,84163.12
31.0,Mujer,Concepción,Premium,Orgánico,No,Sí,Desktop,49,29,8.01,9,7,100.0,13.6,120867.67
36.0,Mujer,Santiago,Plata,Orgánico,No,Sí,Mobile,24,23,8.88,7,9,95.0,44.34,41386.19
56.0,Hombre,Santiago,Bronce,Email,Sí,No,Tablet,25,17,11.01,4,50,68.0,31.68,59506.18
36.0,Mujer,La Serena,Premium,Orgánico,Sí,No,Mobile,42,34,21.63,15,0,100.0,24.56,104731.05
34.0,Mujer,Valparaíso,Bronce,Orgánico,No,Sí,Mobile,19,19,9.16,1,73,22.0,26.97,17897.31
54.0,Mujer,Antofagasta,Premium,Instagram,No,Sí,Desktop,39,11,12.75,5,27,80.0,43.8,91970.62
24.0,Mujer,Temuco,Bronce,Instagram,No,Sí,Desktop,23,15,6.95,6,54,98.0,30.32,51310.38
26.0,Mujer,Concepción,Plata,Instagram,No,No,Mobile,17,10,2.65,6,32,81.0,12.04,44108.48
55.0,Mujer,Rancagua,Oro,Email,Sí,Sí,Desktop,42,22,16.85,11,0,100.0,42.67,114710.48
43.0,Hombre,Antofagasta,Plata,Orgánico,No,Sí,Desktop,37,16,7.42,6,36,88.0,15.58,69450.36
62.0,Mujer,Temuco,Oro,Referido,No,Sí,Mobile,21,12,8.42,7,14,100.0,31.35,70047.57
25.0,Mujer,Antofagasta,Plata,Email,No,Sí,Desktop,27,22,10.78,4,88,59.0,27.42,76044.13
25.0,Mujer,Concepción,Plata,Referido,Sí,No,Mobile,23,12,6.23,9,17,99.0,34.56,57666.7
23.0,Otro,Temuco,Plata,Google Ads,Sí,No,Tablet,35,12,10.99,9,0,94.0,33.41,66484.9
51.0,Mujer,Valparaíso,Bronce,Orgánico,No,No,Mobile,20,11,11.15,4,32,60.0,33.55,56783.37
26.0,Mujer,Valparaíso,Bronce,Orgánico,No,No,Mobile,20,16,10.51,7,64,62.0,45.08,35676.46
57.0,Otro,Puerto Montt,Plata,Email,Sí,No,Mobile,40,23,17.35,9,32,100.0,8.54,114683.04
44.0,Hombre,Santiago,Oro,Email,No,No,Mobile,24,6,8.54,6,11,89.0,24.46,60055.86
48.0,Mujer,La Serena,Bronce,Google Ads,No,No,Mobile,10,9,2.92,7,41,86.0,27.91,16382.22
,Mujer,Antofagasta,Premium,Google Ads,No,Sí,Desktop,120,42,15.34,12,0,100.0,41.41,409286.3
19.0,Mujer,Antofagasta,Bronce,Orgánico,Sí,Sí,Desktop,12,11,9.25,10,24,97.0,42.62,41044.29
31.0,Hombre,Antofagasta,Bronce,Google Ads,Sí,Sí,Desktop,35,17,,9,22,100.0,32.05,75132.45
52.0,Hombre,Concepción,Plata,Orgánico,No,No,Mobile,22,6,8.34,4,4,75.0,51.84,32886.23
61.0,Mujer,La Serena,Plata,Google Ads,Sí,Sí,Mobile,16,1,6.44,5,44,99.0,35.89,53236.65
20.0,Mujer,,Plata,Orgánico,Sí,Sí,Desktop,40,21,16.93,10,9,100.0,36.63,103980.1
30.0,Hombre,Santiago,Plata,Google Ads,Sí,No,Mobile,27,27,14.13,9,8,100.0,23.71,63936.5
44.0,Mujer,Rancagua,Bronce,Referido,No,No,Desktop,12,10,6.2,3,80,48.0,31.02,26889.04
49.0,Hombre,Santiago,Plata,Instagram,No,No,Mobile,17,12,11.7,6,54,71.0,18.13,30162.73
43.0,Hombre,Temuco,Oro,Google Ads,Sí,No,Tablet,33,26,16.31,11,12,100.0,41.36,108811.44
28.0,Mujer,,Oro,Instagram,No,No,Mobile,28,16,4.24,8,0,100.0,37.97,64559.08
56.0,Hombre,La Serena,Bronce,Instagram,No,No,Mobile,14,16,4.5,5,67,67.0,20.93,18693.23
19.0,Hombre,Temuco,Premium,Google Ads,No,Sí,Mobile,32,17,10.06,6,46,,40.96,78479.83
67.0,Mujer,Temuco,Oro,Orgánico,No,No,Mobile,28,19,8.86,8,0,96.0,21.89,83189.9
35.0,Hombre,Antofagasta,Bronce,Instagram,No,No,Mobile,18,22,10.9,4,66,65.0,41.06,40251.15
34.0,Otro,Rancagua,Bronce,Orgánico,No,Sí,Mobile,27,18,3.77,7,43,76.0,37.51,57962.44
50.0,Otro,Antofagasta,Premium,Orgánico,No,Sí,Desktop,44,33,17.19,11,13,100.0,47.56,115639.98
39.0,Mujer,Puerto Montt,Plata,Instagram,No,No,Mobile,35,20,14.25,9,19,100.0,22.81,88012.19
48.0,Mujer,Antofagasta,Bronce,Orgánico,No,No,Mobile,27,11,9.8,8,20,88.0,36.76,52512.5
32.0,Mujer,Puerto Montt,Plata,Instagram,No,No,Desktop,20,10,9.99,4,36,66.0,21.5,40695.06
64.0,Mujer,La Serena,Premium,Google Ads,No,No,Tablet,41,24,18.3,9,55,100.0,44.23,60274.26
19.0,Hombre,Santiago,Bronce,Email,No,No,Desktop,11,13,7.76,3,74,73.0,33.56,23331.34
55.0,Hombre,La Serena,Plata,Orgánico,No,Sí,Mobile,13,18,6.12,8,26,76.0,30.26,62903.3
55.0,Otro,Puerto Montt,Oro,Orgánico,No,No,Desktop,25,15,9.11,3,56,66.0,31.24,55649.56
35.0,Mujer,Valparaíso,Plata,Google Ads,Sí,No,Mobile,34,21,12.05,7,27,86.0,30.25,84996.84
43.0,Mujer,La Serena,Bronce,Google Ads,No,No,Mobile,20,16,8.32,6,90,82.0,25.79,54040.13
18.0,Mujer,Rancagua,Plata,Email,No,Sí,Desktop,27,10,7.69,8,41,100.0,38.4,58121.69
21.0,Mujer,Rancagua,Oro,Orgánico,Sí,Sí,Mobile,105,42,16.44,5,39,81.0,28.92,333588.78
62.0,Hombre,Santiago,Bronce,Instagram,No,No,Mobile,13,4,2.95,3,72,67.0,33.62,34684.41
60.0,Hombre,La Serena,Oro,Orgánico,No,No,Desktop,32,19,8.61,7,22,85.0,31.04,91553.59
64.0,Hombre,Antofagasta,Bronce,Email,No,No,Mobile,16,3,6.24,8,27,67.0,11.38,40092.36
60.0,Hombre,Antofagasta,Bronce,Referido,No,No,Mobile,16,8,6.88,4,59,54.0,47.32,29992.57
64.0,Hombre,Temuco,Bronce,Referido,No,Sí,Mobile,26,25,13.32,5,0,88.0,43.3,68167.22
64.0,Mujer,Rancagua,Oro,Orgánico,No,No,Desktop,31,17,13.92,5,20,78.0,31.44,71878.66
44.0,Hombre,Puerto Montt,Bronce,Google Ads,No,Sí,Mobile,10,12,10.1,3,49,59.0,30.55,23505.49
28.0,Mujer,Puerto Montt,Premium,Orgánico,No,Sí,Mobile,39,27,8.45,11,0,100.0,47.16,96049.28
53.0,Mujer,La Serena,Bronce,Email,No,No,Tablet,36,23,11.8,7,56,71.0,26.89,78131.74
60.0,Hombre,La Serena,Oro,Referido,No,No,Mobile,34,20,8.34,9,47,93.0,34.85,62754.28
39.0,Mujer,La Serena,Oro,Orgánico,No,Sí,Mobile,27,20,12.26,7,31,81.0,30.87,51706.72
18.0,Mujer,Puerto Montt,Premium,Instagram,No,Sí,Desktop,35,21,12.72,11,0,100.0,38.53,97912.32
55.0,Hombre,Antofagasta,Oro,Referido,Sí,Sí,Desktop,35,30,12.27,7,4,86.0,15.7,77127.42
60.0,Hombre,Santiago,Oro,Email,Sí,No,Desktop,56,43,13.08,6,32,97.0,9.92,125664.96
68.0,Mujer,Rancagua,Premium,Orgánico,No,Sí,Desktop,43,12,10.36,7,0,97.0,46.03,90875.99
57.0,Hombre,Rancagua,Oro,Google Ads,Sí,Sí,Desktop,36,20,5.27,7,0,100.0,28.24,83768.56
27.0,Hombre,Rancagua,Bronce,Google Ads,No,Sí,Desktop,18,11,4.72,1,76,39.0,48.61,15783.53
38.0,Hombre,Temuco,Bronce,Orgánico,No,No,Desktop,24,20,8.83,8,30,88.0,40.04,37603.13
52.0,Mujer,,Oro,Orgánico,No,Sí,Desktop,28,20,15.56,5,28,81.0,32.02,55763.91
35.0,Mujer,Antofagasta,Bronce,Google Ads,No,Sí,Mobile,39,17,8.53,6,50,57.0,26.78,74731.51
69.0,Hombre,Valparaíso,Oro,Instagram,Sí,No,Desktop,45,28,17.74,7,61,94.0,19.32,91526.54
66.0,Hombre,Valparaíso,Plata,Referido,No,Sí,Mobile,30,12,11.1,11,19,100.0,42.81,64278.48
42.0,Hombre,La Serena,Premium,Email,No,Sí,Tablet,26,16,6.09,4,33,83.0,45.93,46693.43
18.0,Mujer,Valparaíso,Plata,Referido,No,No,Mobile,11,16,3.89,5,52,69.0,14.87,52151.12
45.0,Mujer,Concepción,Bronce,Email,No,No,Desktop,17,8,7.79,6,42,74.0,39.68,19242.79
40.0,Mujer,Temuco,Oro,Referido,No,No,Mobile,38,25,20.13,8,38,82.0,43.32,76549.41
63.0,Hombre,Antofagasta,Bronce,Instagram,No,Sí,Desktop,16,14,9.35,7,74,85.0,24.39,35607.27
56.0,Mujer,La Serena,Bronce,Orgánico,No,No,Desktop,30,17,5.35,6,50,81.0,0.0,45934.76
56.0,Hombre,Puerto Montt,Bronce,Instagram,No,No,Desktop,20,13,6.94,8,37,78.0,17.12,50537.27
24.0,Hombre,Rancagua,Bronce,Orgánico,Sí,No,Desktop,11,9,11.77,5,34,75.0,37.94,52177.33
44.0,Mujer,Antofagasta,Plata,Google Ads,No,Sí,Tablet,35,19,12.51,14,0,100.0,13.33,84532.79
43.0,Mujer,Antofagasta,Plata,Instagram,No,Sí,Mobile,38,17,8.69,7,16,76.0,51.3,83782.53
52.0,Mujer,Antofagasta,Plata,Google Ads,No,No,Desktop,12,23,8.33,4,48,60.0,33.7,55607.65
27.0,Mujer,La Serena,Premium,Email,No,No,Tablet,32,17,11.3,6,43,100.0,23.6,87299.45
23.0,Hombre,Valparaíso,Plata,Instagram,No,No,Mobile,23,20,12.44,8,40,89.0,14.55,77287.07
62.0,Hombre,Antofagasta,Premium,Instagram,No,Sí,Mobile,42,17,9.99,10,32,100.0,34.44,90407.21
58.0,Otro,La Serena,Oro,Referido,No,No,Desktop,26,6,7.03,3,40,73.0,28.91,45376.4
56.0,Hombre,Temuco,Oro,Instagram,No,No,Mobile,37,20,12.77,7,56,86.0,37.33,67028.11
60.0,Mujer,Puerto Montt,Oro,Referido,Sí,No,Desktop,47,20,9.83,10,0,100.0,20.55,110974.71
29.0,Hombre,Santiago,Bronce,Orgánico,Sí,No,Tablet,19,12,15.89,6,26,81.0,21.13,26642.41
49.0,Mujer,Santiago,Plata,Google Ads,No,No,Desktop,27,16,10.4,5,18,80.0,34.16,80023.02
52.0,Hombre,Puerto Montt,Plata,Instagram,No,Sí,Mobile,27,6,5.98,8,54,81.0,29.25,55329.57
55.0,Mujer,Rancagua,Bronce,Email,No,Sí,Mobile,23,18,7.95,6,98,50.0,25.13,52117.55
31.0,Hombre,Valparaíso,Bronce,Google Ads,No,No,Mobile,23,10,7.2,8,76,71.0,35.77,48023.38
67.0,Hombre,Rancagua,Bronce,Google Ads,Sí,No,Mobile,15,18,8.69,6,27,86.0,25.47,58459.55
63.0,Hombre,La Serena,Premium,Referido,No,No,Desktop,28,6,8.11,5,24,86.0,22.67,54484.02
65.0,Mujer,Antofagasta,Bronce,Referido,No,No,Mobile,22,6,8.38,4,80,61.0,37.44,34742.41
33.0,Mujer,Rancagua,Bronce,Instagram,No,No,Mobile,5,14,5.35,4,91,69.0,21.62,34958.84
66.0,Mujer,Concepción,Bronce,Google Ads,No,No,Mobile,25,10,8.43,9,17,88.0,32.9,64621.43
48.0,Mujer,Temuco,Bronce,Instagram,No,Sí,Mobile,13,1,0.5,1,35,39.0,31.08,24383.67
24.0,Mujer,La Serena,Plata,Orgánico,No,No,Mobile,20,9,7.76,5,40,69.0,32.5,10507.88
52.0,Mujer,La Serena,Premium,Instagram,No,No,Desktop,23,12,7.55,5,44,66.0,29.96,55598.62
68.0,Mujer,Temuco,Plata,Orgánico,No,Sí,Desktop,14,12,8.76,4,23,75.0,37.89,47008.09
30.0,Hombre,Rancagua,Bronce,Email,No,Sí,Mobile,18,16,3.26,1,107,50.0,51.71,20029.11
45.0,Mujer,Temuco,Plata,Google Ads,No,No,Mobile,11,12,8.28,4,35,68.0,34.93,29427.4
22.0,Hombre,Concepción,Plata,Orgánico,Sí,No,Mobile,27,22,8.94,6,16,87.0,59.81,70998.08
62.0,Mujer,Valparaíso,Bronce,Orgánico,No,No,Mobile,19,17,10.06,5,67,76.0,32.79,69178.35
24.0,Hombre,Santiago,Plata,Referido,Sí,No,Desktop,37,27,12.96,10,16,100.0,45.78,90404.45
34.0,Hombre,Antofagasta,Plata,Google Ads,No,No,Mobile,20,18,7.98,5,56,47.0,42.03,38029.11
61.0,Mujer,Puerto Montt,Bronce,Referido,No,No,Desktop,26,13,9.86,7,24,95.0,45.42,36658.92
29.0,Hombre,Rancagua,Bronce,Google Ads,No,Sí,Mobile,19,6,6.11,4,63,56.0,46.32,29948.0
25.0,Mujer,Rancagua,Plata,Referido,No,No,Mobile,22,13,8.74,4,96,47.0,35.73,42471.81
35.0,Mujer,Temuco,Bronce,Google Ads,No,Sí,Desktop,17,18,6.7,3,20,63.0,34.93,46930.28
57.0,Hombre,Temuco,Bronce,Orgánico,No,No,Desktop,17,17,9.47,8,70,63.0,65.52,44394.09
24.0,Hombre,La Serena,Plata,Email,No,No,Desktop,20,7,7.4,6,46,81.0,13.36,56990.48
63.0,Mujer,Concepción,Oro,Orgánico,No,Sí,Mobile,30,10,7.98,10,16,90.0,37.76,84161.48
18.0,Mujer,Puerto Montt,Plata,Instagram,Sí,No,Desktop,30,28,16.47,8,0,90.0,38.27,73344.15
33.0,Hombre,Concepción,Plata,Email,No,No,Mobile,31,18,12.1,7,31,77.0,30.02,83778.13
34.0,Mujer,Valparaíso,Oro,Orgánico,No,Sí,Mobile,27,14,10.57,6,31,73.0,25.76,73582.14
51.0,Mujer,Valparaíso,Bronce,Instagram,No,No,Desktop,22,8,9.13,13,28,100.0,17.85,61691.34
39.0,Mujer,Temuco,Oro,Orgánico,No,Sí,Mobile,31,14,8.92,5,59,65.0,43.86,45002.0
21.0,Hombre,Temuco,Plata,Orgánico,No,Sí,Mobile,25,11,6.38,5,53,73.0,27.62,45345.08
45.0,Hombre,Valparaíso,Plata,Google Ads,No,No,Desktop,20,11,8.42,7,47,80.0,42.13,25921.19
62.0,Hombre,Concepción,Plata,Referido,Sí,Sí,Mobile,27,14,9.34,12,45,100.0,30.52,49388.83
36.0,Hombre,Antofagasta,Bronce,Google Ads,No,No,Mobile,1,5,8.15,2,40,59.0,45.64,48619.22
70.0,Hombre,La Serena,Plata,Instagram,No,No,Mobile,30,6,4.38,10,30,97.0,25.69,72424.49
23.0,Hombre,Antofagasta,Bronce,Referido,Sí,Sí,Mobile,31,26,15.04,8,0,100.0,24.47,79840.87
53.0,Hombre,Antofagasta,Oro,Google Ads,Sí,No,Desktop,45,28,11.96,7,45,97.0,49.0,84958.54
56.0,Mujer,Santiago,Bronce,Email,No,Sí,Tablet,20,17,9.69,5,71,65.0,34.68,42422.37
69.0,Mujer,Valparaíso,Plata,Google Ads,No,No,Mobile,22,18,11.13,7,22,84.0,39.05,67587.16
54.0,Hombre,La Serena,Bronce,Referido,No,No,Mobile,57,22,6.16,5,79,71.0,32.1,195390.0
35.0,Hombre,Valparaíso,Bronce,Email,Sí,No,Desktop,32,26,14.12,8,73,100.0,7.24,89578.6
32.0,Hombre,Temuco,Bronce,Email,Sí,No,Mobile,25,16,16.31,3,60,52.0,31.54,67138.48
65.0,Hombre,Antofagasta,Plata,Orgánico,No,No,Mobile,19,19,10.54,5,58,67.0,32.36,50366.11
57.0,Hombre,Puerto Montt,Oro,Orgánico,No,No,Mobile,21,24,8.77,2,69,63.0,36.59,56297.42
32.0,Mujer,La Serena,Oro,Instagram,No,No,Desktop,21,10,8.77,8,20,83.0,15.58,55795.03
33.0,Hombre,Concepción,Oro,Orgánico,No,No,Desktop,37,22,15.96,5,41,69.0,13.23,72585.69
18.0,Mujer,Temuco,Bronce,Orgánico,Sí,No,Desktop,25,12,9.35,7,18,96.0,24.36,66239.55
19.0,Hombre,Concepción,Oro,Email,No,No,Desktop,37,11,8.81,6,42,88.0,37.06,82591.84
43.0,Hombre,Antofagasta,Bronce,Orgánico,Sí,No,Mobile,35,28,17.49,6,30,83.0,38.81,70943.96
38.0,Hombre,Antofagasta,Bronce,Orgánico,Sí,No,Mobile,24,13,8.4,6,70,76.0,39.43,51747.57
19.0,Hombre,Concepción,Bronce,Instagram,No,Sí,Mobile,27,13,14.01,2,65,52.0,22.72,54384.49
41.0,Hombre,Puerto Montt,Oro,Email,Sí,No,Mobile,34,28,13.09,3,49,48.0,41.06,55920.7
28.0,Hombre,Concepción,Plata,Instagram,No,No,Mobile,28,12,7.78,3,63,64.0,25.32,40125.84
48.0,Mujer,Santiago,Bronce,Orgánico,No,No,Mobile,13,20,7.63,6,62,77.0,35.59,22071.38
26.0,Mujer,Temuco,Plata,Google Ads,No,No,Mobile,8,9,1.74,4,77,74.0,40.1,14055.47
50.0,Mujer,Antofagasta,Bronce,Orgánico,No,Sí,Mobile,24,19,9.15,6,31,80.0,38.37,60165.91
43.0,Hombre,Santiago,Premium,Google Ads,Sí,No,Mobile,46,39,14.95,12,6,100.0,26.5,104005.55
34.0,Mujer,Concepción,Premium,Instagram,No,Sí,Mobile,33,34,13.82,8,0,100.0,42.51,106808.09
38.0,Hombre,Concepción,Bronce,Instagram,No,Sí,Desktop,12,11,1.86,0,45,43.0,34.28,19539.57
39.0,Mujer,Puerto Montt,Bronce,Instagram,No,No,Tablet,18,17,5.0,3,23,67.0,28.43,25405.57
49.0,Mujer,Temuco,Bronce,Google Ads,Sí,Sí,Mobile,18,12,16.56,8,17,70.0,45.91,81241.77
27.0,Hombre,Temuco,Bronce,Google Ads,No,No,Mobile,15,22,14.18,4,33,51.0,51.56,35324.17
31.0,Mujer,Valparaíso,Oro,Google Ads,No,No,Desktop,42,10,8.69,9,12,89.0,27.24,60772.25
